,From,To,Flow
0,details-v1#0#end,dst_*_*#*#*,5000.0
1,details-v1#1#end,dst_*_*#*#*,10000.0
2,src_*_*#*#*,productpage-v1#0#start,5000.0
3,productpage-v1#0#end,details-v1#0#start,5000.0
4,src_*_*#*#*,productpage-v1#1#start,10000.0
5,productpage-v1#1#end,details-v1#1#start,10000.0
6,productpage-v1#0#end,reviews-v2#0#start,5000.0
7,productpage-v1#1#end,reviews-v2#1#start,10000.0
8,ratings-v1#0#end,dst_*_*#*#*,5000.0
9,ratings-v1#1#end,dst_*_*#*#*,10000.0
10,reviews-v2#0#end,ratings-v1#0#start,5000.0
11,reviews-v2#1#end,ratings-v1#1#start,10000.0
12,productpage-v1#0#start,productpage-v1#0#end,5000.0
13,productpage-v1#1#start,productpage-v1#1#end,10000.0
14,details-v1#0#start,details-v1#0#end,5000.0
15,details-v1#1#start,details-v1#1#end,10000.0
16,reviews-v2#0#start,reviews-v2#0#end,5000.0
17,reviews-v2#1#start,reviews-v2#1#end,10000.0
18,ratings-v1#0#start,ratings-v1#0#end,5000.0
19,ratings-v1#1#start,ratings-v1#1#end,10000.0
