,Variable Name,LB,UB
0,"compute_time[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,1000000.0
1,"compute_time[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,1000000.0
2,"load_for_compute_edge[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,15000.0
3,"load_for_compute_edge[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,15000.0
4,"compute_time[('details_v1#0#start',_'details_v1#0#end')]",0.0,1000000.0
5,"compute_time[('details_v1#1#start',_'details_v1#1#end')]",0.0,1000000.0
6,"load_for_compute_edge[('details_v1#0#start',_'details_v1#0#end')]",0.0,15000.0
7,"load_for_compute_edge[('details_v1#1#start',_'details_v1#1#end')]",0.0,15000.0
8,"compute_time[('reviews_v2#0#start',_'reviews_v2#0#end')]",0.0,1000000.0
9,"compute_time[('reviews_v2#1#start',_'reviews_v2#1#end')]",0.0,1000000.0
10,"load_for_compute_edge[('reviews_v2#0#start',_'reviews_v2#0#end')]",0.0,15000.0
11,"load_for_compute_edge[('reviews_v2#1#start',_'reviews_v2#1#end')]",0.0,15000.0
12,"compute_time[('ratings_v1#0#start',_'ratings_v1#0#end')]",0.0,1000000.0
13,"compute_time[('ratings_v1#1#start',_'ratings_v1#1#end')]",0.0,1000000.0
14,"load_for_compute_edge[('ratings_v1#0#start',_'ratings_v1#0#end')]",0.0,15000.0
15,"load_for_compute_edge[('ratings_v1#1#start',_'ratings_v1#1#end')]",0.0,15000.0
16,"pipe.col_trans.std_scaler.out[0,0]",-inf,inf
17,"pipe.col_trans.std_scaler.out[1,0]",-inf,inf
18,"pipe0.col_trans.std_scaler.out[0,0]",-inf,inf
19,"pipe0.col_trans.std_scaler.out[1,0]",-inf,inf
20,"pipe1.col_trans.std_scaler.out[0,0]",-inf,inf
21,"pipe1.col_trans.std_scaler.out[1,0]",-inf,inf
22,"pipe2.col_trans.std_scaler.out[0,0]",-inf,inf
23,"pipe2.col_trans.std_scaler.out[1,0]",-inf,inf
24,"network_latency[('details_v1#0#end',_'dst____#_#_')]",0.0,0.0
25,"network_latency[('details_v1#1#end',_'dst____#_#_')]",0.0,0.0
26,"network_latency[('src____#_#_',_'productpage_v1#0#start')]",0.0,0.0
27,"network_latency[('productpage_v1#0#end',_'details_v1#0#start')]",0.5,0.5
28,"network_latency[('productpage_v1#0#end',_'details_v1#1#start')]",40.0,40.0
29,"network_latency[('src____#_#_',_'productpage_v1#1#start')]",0.0,0.0
30,"network_latency[('productpage_v1#1#end',_'details_v1#0#start')]",40.0,40.0
31,"network_latency[('productpage_v1#1#end',_'details_v1#1#start')]",0.5,0.5
32,"network_latency[('productpage_v1#0#end',_'reviews_v2#0#start')]",0.5,0.5
33,"network_latency[('productpage_v1#0#end',_'reviews_v2#1#start')]",40.0,40.0
34,"network_latency[('productpage_v1#1#end',_'reviews_v2#0#start')]",40.0,40.0
35,"network_latency[('productpage_v1#1#end',_'reviews_v2#1#start')]",0.5,0.5
