service,processing_time,timestamp,num_replica,rps_per_replica,total_rps(capacity)
A,30,0,3,33.333333333333336,100.0
A,30,90000,3,33.333333333333336,100.0
A,30,95000,2,33.333333333333336,66.66666666666667
A,30,105000,2,33.333333333333336,66.66666666666667
A,30,120000,2,33.333333333333336,66.66666666666667
A,30,135000,2,33.333333333333336,66.66666666666667
A,30,150000,2,33.333333333333336,66.66666666666667
A,30,165000,2,33.333333333333336,66.66666666666667
A,30,180000,2,33.333333333333336,66.66666666666667
A,30,195000,2,33.333333333333336,66.66666666666667
A,30,200000,3,33.333333333333336,100.0
A,30,210000,3,33.333333333333336,100.0
A,30,225000,3,33.333333333333336,100.0
A,30,240000,3,33.333333333333336,100.0
A,30,255000,3,33.333333333333336,100.0
A,30,260000,4,33.333333333333336,133.33333333333334
A,30,270000,4,33.333333333333336,133.33333333333334
A,30,285000,4,33.333333333333336,133.33333333333334
A,30,300000,4,33.333333333333336,133.33333333333334
A,30,315000,4,33.333333333333336,133.33333333333334
A,30,320000,15,33.333333333333336,500.00000000000006
A,30,330000,15,33.333333333333336,500.00000000000006
A,30,335000,22,33.333333333333336,733.3333333333334
A,30,345000,22,33.333333333333336,733.3333333333334
A,30,360000,22,33.333333333333336,733.3333333333334
A,30,375000,22,33.333333333333336,733.3333333333334
A,30,380000,24,33.333333333333336,800.0
A,30,390000,24,33.333333333333336,800.0
A,30,395000,25,33.333333333333336,833.3333333333334
A,30,405000,25,33.333333333333336,833.3333333333334
A,30,420000,25,33.333333333333336,833.3333333333334
A,30,435000,25,33.333333333333336,833.3333333333334
A,30,450000,25,33.333333333333336,833.3333333333334
A,30,465000,25,33.333333333333336,833.3333333333334
A,30,480000,25,33.333333333333336,833.3333333333334
A,30,495000,25,33.333333333333336,833.3333333333334
A,30,510000,25,33.333333333333336,833.3333333333334
A,30,525000,25,33.333333333333336,833.3333333333334
A,30,540000,25,33.333333333333336,833.3333333333334
A,30,555000,25,33.333333333333336,833.3333333333334
A,30,570000,25,33.333333333333336,833.3333333333334
A,30,585000,25,33.333333333333336,833.3333333333334
A,30,600000,25,33.333333333333336,833.3333333333334
A,30,615000,25,33.333333333333336,833.3333333333334
A,30,630000,25,33.333333333333336,833.3333333333334
A,30,645000,25,33.333333333333336,833.3333333333334
A,30,660000,25,33.333333333333336,833.3333333333334
A,30,675000,25,33.333333333333336,833.3333333333334
A,30,690000,25,33.333333333333336,833.3333333333334
A,30,695000,3,33.333333333333336,100.0
A,30,705000,3,33.333333333333336,100.0
A,30,720000,3,33.333333333333336,100.0
A,30,735000,3,33.333333333333336,100.0
A,30,740000,18,33.333333333333336,600.0
A,30,750000,18,33.333333333333336,600.0
A,30,755000,29,33.333333333333336,966.6666666666667
A,30,765000,29,33.333333333333336,966.6666666666667
A,30,780000,29,33.333333333333336,966.6666666666667
A,30,795000,29,33.333333333333336,966.6666666666667
A,30,810000,29,33.333333333333336,966.6666666666667
A,30,825000,29,33.333333333333336,966.6666666666667
A,30,840000,29,33.333333333333336,966.6666666666667
A,30,855000,29,33.333333333333336,966.6666666666667
A,30,870000,29,33.333333333333336,966.6666666666667
A,30,885000,29,33.333333333333336,966.6666666666667
A,30,900000,29,33.333333333333336,966.6666666666667
A,30,915000,29,33.333333333333336,966.6666666666667
A,30,930000,29,33.333333333333336,966.6666666666667
A,30,945000,29,33.333333333333336,966.6666666666667
A,30,960000,29,33.333333333333336,966.6666666666667
A,30,975000,29,33.333333333333336,966.6666666666667
A,30,990000,29,33.333333333333336,966.6666666666667
A,30,1005000,29,33.333333333333336,966.6666666666667
A,30,1010000,9,33.333333333333336,300.0
A,30,1020000,9,33.333333333333336,300.0
A,30,1035000,9,33.333333333333336,300.0
A,30,1050000,9,33.333333333333336,300.0
A,30,1065000,9,33.333333333333336,300.0
A,30,1080000,9,33.333333333333336,300.0
A,30,1095000,9,33.333333333333336,300.0
A,30,1100000,11,33.333333333333336,366.6666666666667
A,30,1110000,11,33.333333333333336,366.6666666666667
A,30,1115000,12,33.333333333333336,400.0
A,30,1125000,12,33.333333333333336,400.0
A,30,1140000,12,33.333333333333336,400.0
A,30,1155000,12,33.333333333333336,400.0
A,30,1170000,12,33.333333333333336,400.0
A,30,1185000,12,33.333333333333336,400.0
A,30,1200000,12,33.333333333333336,400.0
A,30,1215000,12,33.333333333333336,400.0
A,30,1230000,12,33.333333333333336,400.0
A,30,1245000,12,33.333333333333336,400.0
A,30,1260000,12,33.333333333333336,400.0
A,30,1275000,12,33.333333333333336,400.0
A,30,1290000,12,33.333333333333336,400.0
B,10,90000,1,100.0,100.0
B,10,105000,1,100.0,100.0
B,10,120000,1,100.0,100.0
B,10,135000,1,100.0,100.0
B,10,150000,1,100.0,100.0
B,10,165000,1,100.0,100.0
B,10,180000,1,100.0,100.0
B,10,195000,1,100.0,100.0
B,10,210000,1,100.0,100.0
B,10,225000,1,100.0,100.0
B,10,240000,1,100.0,100.0
B,10,255000,1,100.0,100.0
B,10,260000,2,100.0,200.0
B,10,270000,2,100.0,200.0
B,10,285000,2,100.0,200.0
B,10,300000,2,100.0,200.0
B,10,315000,2,100.0,200.0
B,10,320000,3,100.0,300.0
B,10,330000,3,100.0,300.0
B,10,335000,6,100.0,600.0
B,10,345000,6,100.0,600.0
B,10,350000,9,100.0,900.0
B,10,360000,9,100.0,900.0
B,10,375000,9,100.0,900.0
B,10,390000,9,100.0,900.0
B,10,395000,8,100.0,800.0
B,10,405000,8,100.0,800.0
B,10,420000,8,100.0,800.0
B,10,435000,8,100.0,800.0
B,10,450000,8,100.0,800.0
B,10,465000,8,100.0,800.0
B,10,480000,8,100.0,800.0
B,10,495000,8,100.0,800.0
B,10,510000,8,100.0,800.0
B,10,525000,8,100.0,800.0
B,10,540000,8,100.0,800.0
B,10,555000,8,100.0,800.0
B,10,570000,8,100.0,800.0
B,10,585000,8,100.0,800.0
B,10,600000,8,100.0,800.0
B,10,615000,8,100.0,800.0
B,10,630000,8,100.0,800.0
B,10,645000,8,100.0,800.0
B,10,660000,8,100.0,800.0
B,10,675000,8,100.0,800.0
B,10,690000,8,100.0,800.0
B,10,705000,8,100.0,800.0
B,10,720000,8,100.0,800.0
B,10,735000,8,100.0,800.0
B,10,750000,8,100.0,800.0
B,10,765000,8,100.0,800.0
B,10,770000,9,100.0,900.0
B,10,780000,9,100.0,900.0
B,10,785000,10,100.0,1000.0
B,10,795000,10,100.0,1000.0
B,10,810000,10,100.0,1000.0
B,10,825000,10,100.0,1000.0
B,10,840000,10,100.0,1000.0
B,10,855000,10,100.0,1000.0
B,10,870000,10,100.0,1000.0
B,10,885000,10,100.0,1000.0
B,10,900000,10,100.0,1000.0
B,10,915000,10,100.0,1000.0
B,10,930000,10,100.0,1000.0
B,10,945000,10,100.0,1000.0
B,10,960000,10,100.0,1000.0
B,10,975000,10,100.0,1000.0
B,10,990000,10,100.0,1000.0
B,10,1005000,10,100.0,1000.0
B,10,1020000,10,100.0,1000.0
B,10,1035000,10,100.0,1000.0
B,10,1050000,10,100.0,1000.0
B,10,1065000,10,100.0,1000.0
B,10,1080000,10,100.0,1000.0
B,10,1095000,10,100.0,1000.0
B,10,1110000,10,100.0,1000.0
B,10,1125000,10,100.0,1000.0
B,10,1140000,10,100.0,1000.0
B,10,1155000,10,100.0,1000.0
B,10,1170000,10,100.0,1000.0
B,10,1185000,10,100.0,1000.0
B,10,1200000,10,100.0,1000.0
B,10,1215000,10,100.0,1000.0
B,10,1230000,10,100.0,1000.0
B,10,1245000,10,100.0,1000.0
B,10,1260000,10,100.0,1000.0
B,10,1275000,10,100.0,1000.0
B,10,1290000,10,100.0,1000.0
C,25,90000,2,40.0,80.0
C,25,105000,2,40.0,80.0
C,25,120000,2,40.0,80.0
C,25,135000,2,40.0,80.0
C,25,150000,2,40.0,80.0
C,25,165000,2,40.0,80.0
C,25,180000,2,40.0,80.0
C,25,195000,2,40.0,80.0
C,25,210000,2,40.0,80.0
C,25,225000,2,40.0,80.0
C,25,240000,2,40.0,80.0
C,25,245000,3,40.0,120.0
C,25,255000,3,40.0,120.0
C,25,270000,3,40.0,120.0
C,25,285000,3,40.0,120.0
C,25,300000,3,40.0,120.0
C,25,315000,3,40.0,120.0
C,25,320000,7,40.0,280.0
C,25,330000,7,40.0,280.0
C,25,335000,14,40.0,560.0
C,25,345000,14,40.0,560.0
C,25,350000,21,40.0,840.0
C,25,360000,21,40.0,840.0
C,25,365000,22,40.0,880.0
C,25,375000,22,40.0,880.0
C,25,390000,22,40.0,880.0
C,25,405000,22,40.0,880.0
C,25,420000,22,40.0,880.0
C,25,435000,22,40.0,880.0
C,25,450000,22,40.0,880.0
C,25,465000,22,40.0,880.0
C,25,480000,22,40.0,880.0
C,25,495000,22,40.0,880.0
C,25,510000,22,40.0,880.0
C,25,525000,22,40.0,880.0
C,25,540000,22,40.0,880.0
C,25,555000,22,40.0,880.0
C,25,570000,22,40.0,880.0
C,25,585000,22,40.0,880.0
C,25,600000,22,40.0,880.0
C,25,615000,22,40.0,880.0
C,25,630000,22,40.0,880.0
C,25,645000,22,40.0,880.0
C,25,660000,22,40.0,880.0
C,25,675000,22,40.0,880.0
C,25,690000,22,40.0,880.0
C,25,705000,22,40.0,880.0
C,25,720000,22,40.0,880.0
C,25,735000,22,40.0,880.0
C,25,750000,22,40.0,880.0
C,25,765000,22,40.0,880.0
C,25,780000,22,40.0,880.0
C,25,785000,23,40.0,920.0
C,25,795000,23,40.0,920.0
C,25,810000,23,40.0,920.0
C,25,825000,23,40.0,920.0
C,25,840000,23,40.0,920.0
C,25,855000,23,40.0,920.0
C,25,870000,23,40.0,920.0
C,25,885000,23,40.0,920.0
C,25,900000,23,40.0,920.0
C,25,915000,23,40.0,920.0
C,25,930000,23,40.0,920.0
C,25,945000,23,40.0,920.0
C,25,960000,23,40.0,920.0
C,25,975000,23,40.0,920.0
C,25,990000,23,40.0,920.0
C,25,1005000,23,40.0,920.0
C,25,1020000,23,40.0,920.0
C,25,1035000,23,40.0,920.0
C,25,1050000,23,40.0,920.0
C,25,1065000,23,40.0,920.0
C,25,1080000,23,40.0,920.0
C,25,1095000,23,40.0,920.0
C,25,1110000,23,40.0,920.0
C,25,1125000,23,40.0,920.0
C,25,1140000,23,40.0,920.0
C,25,1155000,23,40.0,920.0
C,25,1170000,23,40.0,920.0
C,25,1185000,23,40.0,920.0
C,25,1200000,23,40.0,920.0
C,25,1215000,23,40.0,920.0
C,25,1230000,23,40.0,920.0
C,25,1245000,23,40.0,920.0
C,25,1260000,23,40.0,920.0
C,25,1275000,23,40.0,920.0
C,25,1290000,23,40.0,920.0
D,40,90000,4,25.0,100.0
D,40,105000,4,25.0,100.0
D,40,120000,4,25.0,100.0
D,40,135000,4,25.0,100.0
D,40,150000,4,25.0,100.0
D,40,165000,4,25.0,100.0
D,40,180000,4,25.0,100.0
D,40,195000,4,25.0,100.0
D,40,210000,4,25.0,100.0
D,40,225000,4,25.0,100.0
D,40,240000,4,25.0,100.0
D,40,255000,4,25.0,100.0
D,40,260000,5,25.0,125.0
D,40,270000,5,25.0,125.0
D,40,285000,5,25.0,125.0
D,40,300000,5,25.0,125.0
D,40,315000,5,25.0,125.0
D,40,320000,11,25.0,275.0
D,40,330000,11,25.0,275.0
D,40,335000,21,25.0,525.0
D,40,345000,21,25.0,525.0
D,40,350000,33,25.0,825.0
D,40,360000,33,25.0,825.0
D,40,365000,35,25.0,875.0
D,40,375000,35,25.0,875.0
D,40,390000,35,25.0,875.0
D,40,405000,35,25.0,875.0
D,40,420000,35,25.0,875.0
D,40,435000,35,25.0,875.0
D,40,450000,35,25.0,875.0
D,40,465000,35,25.0,875.0
D,40,480000,35,25.0,875.0
D,40,495000,35,25.0,875.0
D,40,510000,35,25.0,875.0
D,40,525000,35,25.0,875.0
D,40,540000,35,25.0,875.0
D,40,555000,35,25.0,875.0
D,40,570000,35,25.0,875.0
D,40,585000,35,25.0,875.0
D,40,600000,35,25.0,875.0
D,40,615000,35,25.0,875.0
D,40,630000,35,25.0,875.0
D,40,645000,35,25.0,875.0
D,40,660000,35,25.0,875.0
D,40,675000,35,25.0,875.0
D,40,690000,35,25.0,875.0
D,40,705000,35,25.0,875.0
D,40,720000,35,25.0,875.0
D,40,735000,35,25.0,875.0
D,40,750000,35,25.0,875.0
D,40,765000,35,25.0,875.0
D,40,780000,35,25.0,875.0
D,40,785000,36,25.0,900.0
D,40,795000,36,25.0,900.0
D,40,810000,36,25.0,900.0
D,40,825000,36,25.0,900.0
D,40,840000,36,25.0,900.0
D,40,855000,36,25.0,900.0
D,40,870000,36,25.0,900.0
D,40,885000,36,25.0,900.0
D,40,900000,36,25.0,900.0
D,40,915000,36,25.0,900.0
D,40,930000,36,25.0,900.0
D,40,945000,36,25.0,900.0
D,40,960000,36,25.0,900.0
D,40,975000,36,25.0,900.0
D,40,990000,36,25.0,900.0
D,40,1005000,36,25.0,900.0
D,40,1020000,36,25.0,900.0
D,40,1035000,36,25.0,900.0
D,40,1050000,36,25.0,900.0
D,40,1065000,36,25.0,900.0
D,40,1080000,36,25.0,900.0
D,40,1095000,36,25.0,900.0
D,40,1110000,36,25.0,900.0
D,40,1125000,36,25.0,900.0
D,40,1140000,36,25.0,900.0
D,40,1155000,36,25.0,900.0
D,40,1170000,36,25.0,900.0
D,40,1185000,36,25.0,900.0
D,40,1200000,36,25.0,900.0
D,40,1215000,36,25.0,900.0
D,40,1230000,36,25.0,900.0
D,40,1245000,36,25.0,900.0
D,40,1260000,36,25.0,900.0
D,40,1275000,36,25.0,900.0
D,40,1290000,36,25.0,900.0
E,30,90000,3,33.333333333333336,100.0
E,30,105000,3,33.333333333333336,100.0
E,30,120000,3,33.333333333333336,100.0
E,30,135000,3,33.333333333333336,100.0
E,30,150000,3,33.333333333333336,100.0
E,30,165000,3,33.333333333333336,100.0
E,30,180000,3,33.333333333333336,100.0
E,30,195000,3,33.333333333333336,100.0
E,30,210000,3,33.333333333333336,100.0
E,30,225000,3,33.333333333333336,100.0
E,30,240000,3,33.333333333333336,100.0
E,30,255000,3,33.333333333333336,100.0
E,30,260000,4,33.333333333333336,133.33333333333334
E,30,270000,4,33.333333333333336,133.33333333333334
E,30,285000,4,33.333333333333336,133.33333333333334
E,30,300000,4,33.333333333333336,133.33333333333334
E,30,315000,4,33.333333333333336,133.33333333333334
E,30,320000,8,33.333333333333336,266.6666666666667
E,30,330000,8,33.333333333333336,266.6666666666667
E,30,335000,15,33.333333333333336,500.00000000000006
E,30,345000,15,33.333333333333336,500.00000000000006
E,30,350000,24,33.333333333333336,800.0
E,30,360000,24,33.333333333333336,800.0
E,30,365000,26,33.333333333333336,866.6666666666667
E,30,375000,26,33.333333333333336,866.6666666666667
E,30,390000,26,33.333333333333336,866.6666666666667
E,30,405000,26,33.333333333333336,866.6666666666667
E,30,420000,26,33.333333333333336,866.6666666666667
E,30,435000,26,33.333333333333336,866.6666666666667
E,30,450000,26,33.333333333333336,866.6666666666667
E,30,465000,26,33.333333333333336,866.6666666666667
E,30,480000,26,33.333333333333336,866.6666666666667
E,30,495000,26,33.333333333333336,866.6666666666667
E,30,510000,26,33.333333333333336,866.6666666666667
E,30,525000,26,33.333333333333336,866.6666666666667
E,30,540000,26,33.333333333333336,866.6666666666667
E,30,555000,26,33.333333333333336,866.6666666666667
E,30,570000,26,33.333333333333336,866.6666666666667
E,30,585000,26,33.333333333333336,866.6666666666667
E,30,600000,26,33.333333333333336,866.6666666666667
E,30,615000,26,33.333333333333336,866.6666666666667
E,30,630000,26,33.333333333333336,866.6666666666667
E,30,645000,26,33.333333333333336,866.6666666666667
E,30,660000,26,33.333333333333336,866.6666666666667
E,30,675000,26,33.333333333333336,866.6666666666667
E,30,690000,26,33.333333333333336,866.6666666666667
E,30,705000,26,33.333333333333336,866.6666666666667
E,30,720000,26,33.333333333333336,866.6666666666667
E,30,735000,26,33.333333333333336,866.6666666666667
E,30,750000,26,33.333333333333336,866.6666666666667
E,30,765000,26,33.333333333333336,866.6666666666667
E,30,770000,27,33.333333333333336,900.0000000000001
E,30,780000,27,33.333333333333336,900.0000000000001
E,30,785000,28,33.333333333333336,933.3333333333334
E,30,795000,28,33.333333333333336,933.3333333333334
E,30,810000,28,33.333333333333336,933.3333333333334
E,30,825000,28,33.333333333333336,933.3333333333334
E,30,840000,28,33.333333333333336,933.3333333333334
E,30,855000,28,33.333333333333336,933.3333333333334
E,30,870000,28,33.333333333333336,933.3333333333334
E,30,885000,28,33.333333333333336,933.3333333333334
E,30,900000,28,33.333333333333336,933.3333333333334
E,30,915000,28,33.333333333333336,933.3333333333334
E,30,930000,28,33.333333333333336,933.3333333333334
E,30,945000,28,33.333333333333336,933.3333333333334
E,30,960000,28,33.333333333333336,933.3333333333334
E,30,975000,28,33.333333333333336,933.3333333333334
E,30,990000,28,33.333333333333336,933.3333333333334
E,30,1005000,28,33.333333333333336,933.3333333333334
E,30,1020000,28,33.333333333333336,933.3333333333334
E,30,1035000,28,33.333333333333336,933.3333333333334
E,30,1050000,28,33.333333333333336,933.3333333333334
E,30,1065000,28,33.333333333333336,933.3333333333334
E,30,1080000,28,33.333333333333336,933.3333333333334
E,30,1095000,28,33.333333333333336,933.3333333333334
E,30,1110000,28,33.333333333333336,933.3333333333334
E,30,1125000,28,33.333333333333336,933.3333333333334
E,30,1140000,28,33.333333333333336,933.3333333333334
E,30,1155000,28,33.333333333333336,933.3333333333334
E,30,1170000,28,33.333333333333336,933.3333333333334
E,30,1185000,28,33.333333333333336,933.3333333333334
E,30,1200000,28,33.333333333333336,933.3333333333334
E,30,1215000,28,33.333333333333336,933.3333333333334
E,30,1230000,28,33.333333333333336,933.3333333333334
E,30,1245000,28,33.333333333333336,933.3333333333334
E,30,1260000,28,33.333333333333336,933.3333333333334
E,30,1275000,28,33.333333333333336,933.3333333333334
E,30,1290000,28,33.333333333333336,933.3333333333334
F,10,90000,1,100.0,100.0
F,10,105000,1,100.0,100.0
F,10,120000,1,100.0,100.0
F,10,135000,1,100.0,100.0
F,10,150000,1,100.0,100.0
F,10,165000,1,100.0,100.0
F,10,180000,1,100.0,100.0
F,10,195000,1,100.0,100.0
F,10,210000,1,100.0,100.0
F,10,225000,1,100.0,100.0
F,10,240000,1,100.0,100.0
F,10,255000,1,100.0,100.0
F,10,270000,1,100.0,100.0
F,10,285000,1,100.0,100.0
F,10,290000,2,100.0,200.0
F,10,300000,2,100.0,200.0
F,10,315000,2,100.0,200.0
F,10,320000,3,100.0,300.0
F,10,330000,3,100.0,300.0
F,10,335000,5,100.0,500.0
F,10,345000,5,100.0,500.0
F,10,350000,8,100.0,800.0
F,10,360000,8,100.0,800.0
F,10,365000,9,100.0,900.0
F,10,375000,9,100.0,900.0
F,10,390000,9,100.0,900.0
F,10,405000,9,100.0,900.0
F,10,420000,9,100.0,900.0
F,10,435000,9,100.0,900.0
F,10,450000,9,100.0,900.0
F,10,465000,9,100.0,900.0
F,10,480000,9,100.0,900.0
F,10,495000,9,100.0,900.0
F,10,510000,9,100.0,900.0
F,10,525000,9,100.0,900.0
F,10,540000,9,100.0,900.0
F,10,555000,9,100.0,900.0
F,10,570000,9,100.0,900.0
F,10,585000,9,100.0,900.0
F,10,600000,9,100.0,900.0
F,10,615000,9,100.0,900.0
F,10,630000,9,100.0,900.0
F,10,645000,9,100.0,900.0
F,10,660000,9,100.0,900.0
F,10,675000,9,100.0,900.0
F,10,690000,9,100.0,900.0
F,10,705000,9,100.0,900.0
F,10,720000,9,100.0,900.0
F,10,735000,9,100.0,900.0
F,10,750000,9,100.0,900.0
F,10,765000,9,100.0,900.0
F,10,780000,9,100.0,900.0
F,10,795000,9,100.0,900.0
F,10,810000,9,100.0,900.0
F,10,825000,9,100.0,900.0
F,10,840000,9,100.0,900.0
F,10,855000,9,100.0,900.0
F,10,870000,9,100.0,900.0
F,10,885000,9,100.0,900.0
F,10,900000,9,100.0,900.0
F,10,915000,9,100.0,900.0
F,10,930000,9,100.0,900.0
F,10,945000,9,100.0,900.0
F,10,960000,9,100.0,900.0
F,10,975000,9,100.0,900.0
F,10,990000,9,100.0,900.0
F,10,1005000,9,100.0,900.0
F,10,1020000,9,100.0,900.0
F,10,1035000,9,100.0,900.0
F,10,1050000,9,100.0,900.0
F,10,1065000,9,100.0,900.0
F,10,1080000,9,100.0,900.0
F,10,1095000,9,100.0,900.0
F,10,1110000,9,100.0,900.0
F,10,1125000,9,100.0,900.0
F,10,1140000,9,100.0,900.0
F,10,1155000,9,100.0,900.0
F,10,1170000,9,100.0,900.0
F,10,1185000,9,100.0,900.0
F,10,1200000,9,100.0,900.0
F,10,1215000,9,100.0,900.0
F,10,1230000,9,100.0,900.0
F,10,1245000,9,100.0,900.0
F,10,1260000,9,100.0,900.0
F,10,1275000,9,100.0,900.0
F,10,1290000,9,100.0,900.0
